"The data shown here is provided by Statistics Canada from the 2001 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2001, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2001,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
    2 children,110,105,165,115,280,355,610,105,275,215,150,290,80,540,265,35,40,95,450,280,155,70,"4,770","19,310"
    3 or more children,45,50,95,15,135,195,205,35,100,30,50,85,25,195,105,15,15,75,220,170,15,45,"1,915","7,305"
  Male parent,90,100,100,95,270,375,365,110,215,235,105,195,45,370,170,45,70,75,275,195,110,100,"3,705","14,810"
    1 child,55,75,55,70,170,240,190,65,140,185,95,170,30,230,145,50,45,70,140,135,90,75,"2,515","9,895"
    2 children,35,25,35,25,70,100,135,40,60,50,10,15,10,130,20,0,20,0,75,20,25,25,935,"3,755"
    3 or more children,0,0,0,0,30,25,40,0,10,0,10,10,10,15,0,0,0,0,55,35,0,0,250,"1,160"
Census family income in 2000 of all families,"3,645","5,680","5,760","6,510","6,750","8,890","11,640","3,715","7,080","9,225","5,710","5,500","3,170","12,285","5,800","2,310","1,680","1,870","9,015","7,195","8,010","3,355","134,380","535,255"
"   Under $10,000",265,390,170,250,555,530,885,170,475,210,625,495,300,965,340,40,85,130,870,595,485,155,"8,940","28,745"
"   $10,000 - $19,999",185,410,225,260,945,860,"1,240",150,685,505,475,745,305,"1,455",505,110,95,480,"1,065",685,545,90,"11,995","38,115"
"   $20,000 - $29,999",270,435,245,550,"1,145","1,330","1,595",290,825,765,640,765,340,"1,555",645,155,110,415,"1,305",890,930,125,"15,290","50,800"
"   $30,000 - $39,999",315,540,360,515,990,"1,270","1,585",250,800,720,705,785,300,"1,810",640,135,140,260,"1,190",885,770,225,"15,160","55,435"
"   $40,000 - $49,999",430,435,440,650,775,"1,080","1,355",275,725,790,595,600,255,"1,435",600,175,100,195,"1,045",890,900,165,"13,875","54,160"
"   $50,000 - $59,999",325,505,430,575,530,760,"1,240",290,695,805,490,535,225,"1,075",580,150,165,85,710,595,735,215,"11,690","49,520"
"   $60,000 - $69,999",240,490,390,560,505,715,960,275,620,810,495,420,145,"1,095",555,130,125,85,705,525,755,235,"10,835","48,395"
"   $70,000 - $79,999",275,335,410,505,325,520,710,260,450,825,390,285,120,720,395,115,100,45,540,485,640,255,"8,645","42,105"
"   $80,000 - $89,999",190,295,365,450,310,550,640,180,505,535,255,210,170,720,385,120,115,75,485,385,565,210,"7,690","36,980"
"   $90,000 - $99,999",205,310,260,390,140,360,445,175,300,550,205,230,150,415,300,85,100,15,275,325,340,225,"5,800","28,700"
"   $100,000 and over",945,"1,535","2,455","1,800",535,920,980,"1,400","1,000","2,715",835,425,860,"1,040",875,"1,100",550,80,835,925,"1,345","1,450","24,465","102,315"
   Average family income $," $105,942 "," $81,098 "," $119,629 "," $81,766 "," $46,501 "," $54,171 "," $50,485 "," $125,123 "," $57,963 "," $88,095 "," $57,416 "," $49,772 "," $80,977 "," $49,625 "," $63,348 "," $153,895 "," $83,677 "," $35,596 "," $49,167 "," $55,908 "," $64,703 "," $128,575 "," $69,190 "," $70,196 "
   Median family income $," $60,679 "," $61,603 "," $85,170 "," $67,882 "," $37,226 "," $43,666 "," $42,866 "," $75,919 "," $50,546 "," $70,028 "," $46,596 "," $39,233 "," $53,262 "," $42,060 "," $53,547 "," $92,458 "," $71,344 "," $26,888 "," $40,597 "," $45,852 "," $54,430 "," $90,039 "," $51,268 "," $57,926 "
   Standard error of average family income $," $10,071 "," $2,786 "," $3,272 "," $1,961 "," $1,066 "," $1,416 ", $723 ," $5,819 ", $994 ," $2,624 "," $1,416 "," $1,551 "," $3,740 ", $655 ," $2,011 "," $8,161 "," $3,221 "," $1,308 ", $872 ," $1,106 "," $1,317 "," $5,848 ", $547 , $224 
 Census family income in 2000 of couple families ,"3,135","5,020","5,035","5,590","4,965","7,185","9,335","3,240","5,795","7,865","4,845","4,155","2,840","9,990","4,655","2,120","1,420","1,415","7,385","5,920","7,065","2,900","111,560","453,395"
   Average family income $ ," $114,027 "," $85,541 "," $128,447 "," $88,175 "," $52,528 "," $58,287 "," $54,779 "," $136,053 "," $62,221 "," $95,203 "," $60,526 "," $56,648 "," $83,947 "," $53,079 "," $70,248 "," $159,333 "," $90,320 "," $37,956 "," $52,487 "," $60,027 "," $68,056 "," $138,108 "," $75,341 "," $75,585 "
   Median family income $ ," $65,833 "," $65,580 "," $91,669 "," $73,568 "," $42,671 "," $48,338 "," $48,106 "," $82,168 "," $55,737 "," $75,068 "," $49,494 "," $45,701 "," $56,594 "," $46,717 "," $59,060 "," $99,855 "," $81,045 "," $30,007 "," $43,614 "," $50,532 "," $58,882 "," $95,514 "," $56,931 "," $63,146 "
   Standard error of average family income $ ," $11,567 "," $3,080 "," $3,705 "," $2,194 "," $1,335 "," $1,714 ", $832 ," $6,553 "," $1,125 "," $3,000 "," $1,627 "," $1,961 "," $4,035 ", $733 ," $2,405 "," $8,446 "," $3,613 "," $1,543 ", $994 ," $1,260 "," $1,444 "," $6,639 ", $643 , $257 
 Census family income in 2000 of married couple families ,"2,920","3,495","4,665","3,945","3,445","6,460","8,435","2,975","5,335","5,470","4,220","2,990","2,740","9,260","3,990","1,965","1,185","1,230","6,960","5,640","4,240","2,540","93,835","401,390"
   Average family income $ ," $91,177 "," $87,003 "," $131,592 "," $90,458 "," $52,861 "," $55,990 "," $54,146 "," $139,277 "," $61,686 "," $99,985 "," $61,316 "," $56,126 "," $84,004 "," $53,232 "," $70,139 "," $165,978 "," $88,829 "," $34,397 "," $52,731 "," $59,521 "," $66,997 "," $140,120 "," $75,118 "," $75,976 "
   Median family income $ ," $65,117 "," $61,955 "," $94,908 "," $72,975 "," $41,569 "," $46,873 "," $47,057 "," $83,476 "," $54,213 "," $76,141 "," $49,030 "," $44,950 "," $55,931 "," $46,595 "," $58,512 "," $106,197 "," $78,027 "," $28,775 "," $43,738 "," $49,898 "," $58,365 "," $96,008 "," $55,724 "," $63,152 "
   Standard error of average family income $ ," $3,710 "," $4,202 "," $4,007 "," $2,886 "," $1,728 "," $1,086 ", $871 ," $7,007 "," $1,177 "," $4,157 "," $1,747 "," $2,447 "," $4,174 ", $759 ," $2,737 "," $8,984 "," $3,953 "," $1,411 "," $1,040 "," $1,291 "," $1,934 "," $7,332 ", $638 , $267 
 Census family income in 2000 of common-law couple families ,215,"1,525",375,"1,645","1,520",720,900,265,465,"2,395",625,"1,160",100,730,665,155,235,185,425,275,"2,825",360,"17,720","52,005"
   Average family income $ ," $424,566 "," $82,192 "," $89,225 "," $82,714 "," $51,774 "," $78,872 "," $60,674 "," $99,849 "," $68,405 "," $84,298 "," $55,183 "," $57,994 "," $82,325 "," $51,142 "," $70,904 "," $75,018 "," $97,929 "," $61,217 "," $48,495 "," $70,281 "," $69,645 "," $123,954 "," $76,525 "," $72,567 "
   Median family income $ ," $72,495 "," $70,968 "," $72,726 "," $74,972 "," $44,804 "," $63,751 "," $54,985 "," $73,086 "," $64,508 "," $72,597 "," $50,220 "," $47,577 "," $62,136 "," $49,065 "," $64,291 "," $59,111 "," $90,358 "," $47,686 "," $42,447 "," $67,196 "," $59,926 "," $91,771 "," $62,048 "," $63,117 "
   Standard error of average family income $ ," $185,732 "," $3,274 "," $6,476 "," $2,622 "," $1,842 "," $14,586 "," $2,732 "," $11,721 "," $3,726 "," $2,480 "," $4,449 "," $3,039 "," $9,176 "," $2,782 "," $3,504 "," $10,600 "," $8,773 "," $6,474 "," $3,043 "," $5,643 "," $2,146 "," $14,227 "," $2,256 ", $880 
 Census family income in 2000 of male-lone parent families ,90,100,100,95,275,375,370,105,215,230,110,195,45,370,170,50,65,80,270,195,110,105,"3,700","14,810"
   Average family income $ ," $108,527 "," $83,011 "," $66,977 "," $57,520 "," $38,633 "," $42,340 "," $33,825 "," $61,960 "," $37,491 "," $66,539 "," $48,127 "," $34,137 "," $47,661 "," $39,620 "," $50,769 "," $76,755 "," $57,018 "," $18,924 "," $43,327 "," $38,642 "," $45,046 "," $105,042 "," $48,696 "," $51,902 "
   Median family income $ ," $35,990 "," $69,360 "," $66,996 "," $36,883 "," $23,415 "," $37,027 "," $30,869 "," $60,268 "," $27,941 "," $50,702 "," $45,987 "," $32,442 "," $52,485 "," $32,476 "," $45,746 "," $31,353 "," $46,750 "," $13,351 "," $34,336 "," $30,074 "," $28,226 "," $88,548 "," $36,023 "," $42,845 "
   Standard error of average family income $ ," $38,753 "," $13,419 "," $7,259 "," $14,398 "," $5,211 "," $3,261 "," $2,776 "," $7,515 "," $4,299 "," $7,993 "," $4,660 "," $3,406 "," $8,899 "," $4,160 "," $5,154 "," $33,098 "," $10,752 "," $2,997 "," $4,124 "," $5,448 "," $10,969 "," $12,151 "," $1,738 ", $865 
 Census family income in 2000 of female lone-parent families ,420,555,620,825,"1,515","1,335","1,935",375,"1,065","1,130",750,"1,145",285,"1,925",975,145,195,370,"1,365","1,080",835,345,"19,125","67,055"
   Average family income $ ," $44,721 "," $40,552 "," $56,114 "," $40,930 "," $28,138 "," $35,370 "," $32,940 "," $48,200 "," $38,965 "," $43,047 "," $38,746 "," $27,566 "," $56,640 "," $33,617 "," $32,647 "," $100,489 "," $44,814 "," $30,084 "," $32,334 "," $36,438 "," $38,967 "," $56,286 "," $37,271 "," $37,795 "
   Median family income $ ," $40,210 "," $35,438 "," $51,075 "," $38,268 "," $22,731 "," $28,368 "," $24,508 "," $36,402 "," $36,018 "," $37,374 "," $33,345 "," $23,137 "," $27,619 "," $29,478 "," $26,303 "," $47,815 "," $46,584 "," $18,962 "," $24,820 "," $32,421 "," $35,299 "," $42,297 "," $29,501 "," $32,043 "
   Standard error of average family income $ ," $3,559 "," $2,977 "," $2,693 "," $2,082 "," $1,102 "," $1,474 "," $1,290 "," $4,363 "," $1,790 "," $2,180 "," $2,090 "," $1,140 "," $9,784 "," $1,264 "," $1,845 "," $37,828 "," $4,587 "," $2,657 "," $1,548 "," $1,960 "," $2,162 "," $5,501 ", $539 , $262 
Total - Economic families,"3,620","5,890","5,315","6,670","6,690","8,240","10,770","3,650","6,775","9,510","5,605","5,555","3,040","11,235","5,525","2,305","1,650","1,805","7,905","6,675","8,285","3,310","130,025","515,850"
  Low income,680,"1,155",445,800,"2,075","1,850","2,780",450,"1,580","1,125","1,485","1,630",800,"2,835","1,085",270,220,900,"2,155","1,720","1,495",280,"27,820","88,040"
  Other,"2,940","4,735","4,870","5,870","4,615","6,390","7,990","3,200","5,195","8,380","4,115","3,925","2,245","8,395","4,445","2,035","1,430",905,"5,750","4,955","6,785","3,030","102,205","427,805"
  Incidence of low income in 2000 %,18.7,19.6,8.3,12,31,22.4,25.8,12.3,23.3,11.9,26.5,29.3,26.3,25.3,19.6,11.8,13.4,49.8,27.2,25.8,18.1,8.4,21.4,17.1
Total - Unattached individuals 15 years and over,"2,505","13,265","2,235","11,565","9,770","4,070","6,325","2,140","2,565","15,530","4,340","9,090","1,535","5,060","3,855","1,080","1,555","5,420","2,975","2,390","23,065","2,550","132,885","301,305"
  Low income,765,"6,990",815,"2,930","4,920","2,155","3,250",745,"1,210","4,450","1,745","4,005",655,"2,795","1,850",335,530,"4,410","1,700","1,315","8,860",895,"57,310","120,030"
  Other,"1,735","6,275","1,425","8,640","4,850","1,915","3,080","1,395","1,350","11,085","2,600","5,090",880,"2,270","2,005",745,"1,030","1,010","1,275","1,070","14,205","1,655","75,575","181,275"
  Incidence of low income in 2000 % ,30.5,52.7,36.4,25.3,50.3,52.9,51.3,34.8,47.3,28.7,40.2,44,42.6,55.2,48,30.9,34,81.4,57.1,55,38.4,35.1,43.1,39.8
Total - Population in private households,"14,020","27,510","19,845","27,430","28,860","32,745","44,155","13,950","25,415","39,365","21,685","24,325","11,895","44,695","21,775","8,735","6,655","10,970","33,250","26,460","41,745","12,600","538,095","1,955,020"
  Low income,"3,265","9,900","2,315","5,050","10,825","8,420","12,125","2,190","6,625","7,460","6,615","8,670","3,605","12,215","5,310","1,145","1,320","7,120","9,485","7,400","12,485","1,815","145,360","407,135"
  Other,"10,750","17,610","17,530","22,380","18,040","24,330","32,035","11,760","18,795","31,905","15,075","15,660","8,290","32,475","16,470","7,585","5,335","3,850","23,760","19,060","29,260","10,785","392,735","1,547,885"
  Incidence of low income in 2000 %,23.3,36.0,11.7,18.4,37.5,25.7,27.5,15.7,26.1,18.9,30.5,35.6,30.3,27.3,24.4,13.1,19.8,64.9,28.5,28.0,29.9,14.4,27.0,20.8
Total number of persons in private households,"14,035","27,510","21,135","27,430","28,885","32,790","44,210","13,955","25,465","39,365","21,730","24,345","11,900","44,770","21,795","8,735","6,655","10,985","33,260","26,505","41,770","12,615","538,570","1,963,640"
Total number of private households by household size,"5,605","17,770","7,060","16,870","14,355","11,050","14,610","5,355","8,835","21,980","9,280","12,655","4,330","14,650","8,180","2,970","2,675","6,810","9,915","8,390","27,990","5,185","236,095","758,715"
  1 person,"1,850","10,830","1,110","9,095","6,380","2,290","2,920","1,555","1,840","10,390","3,345","5,905","1,195","2,795","2,120",595,770,"4,715","1,755","1,505","16,815","1,590","91,300","212,055"
  2 persons,"1,495","5,050","2,030","5,825","4,465","2,915","3,795","1,555","2,450","7,865","2,545","3,960","1,095","3,685","2,455",860,895,"1,105","2,225","1,935","9,190","1,605","68,850","228,225"
  3 persons,710,"1,155","1,255","1,280","1,665","2,080","2,720",750,"1,560","2,185","1,435","1,440",705,"2,830","1,395",440,365,390,"1,540","1,580","1,460",745,"29,610","115,205"
  4-5 persons,"1,370",700,"2,325",655,"1,560","2,885","3,810","1,285","2,475","1,430","1,645","1,145","1,100","4,050","1,765",860,560,495,"3,115","2,590",495,"1,150","37,370","170,360"
  6 or more persons,180,25,340,15,285,875,"1,365",210,515,110,305,200,235,"1,295",440,210,90,105,"1,290",780,20,90,"8,960","32,865"
 Average number of persons in private households ,2.5,1.5,3,1.6,2,3,3,2.6,2.9,1.8,2.3,1.9,2.7,3.1,2.7,2.9,2.5,1.6,3.4,3.2,1.5,2.4,2.3,2.6
Total number of private households by household type,"5,605","17,770","7,060","16,870","14,355","11,050","14,610","5,355","8,835","21,980","9,275","12,650","4,330","14,655","8,180","2,970","2,675","6,810","9,915","8,395","27,990","5,185","236,095","758,710"
  One-family households,"3,365","5,540","5,290","6,435","6,090","7,300","9,380","3,430","6,270","9,070","5,255","5,105","2,770","9,765","4,980","2,200","1,560","1,670","6,585","5,955","7,970","3,220","118,900","483,330"
  Multiple-family households,135,70,230,35,315,750,"1,060",140,385,80,220,190,185,"1,205",390,55,55,95,"1,120",595,20,65,"7,355","24,755"
  Non-family households,"2,100","12,160","1,545","10,400","7,950","3,000","4,170","1,785","2,185","12,835","3,800","7,355","1,375","3,680","2,810",715,"1,060","5,045","2,210","1,845","20,005","1,900","109,840","250,635"
Household income in 2000 of all private households,"5,605","17,770","7,060","16,875","14,350","11,050","14,605","5,355","8,835","21,980","9,280","12,650","4,330","14,650","8,175","2,970","2,675","6,810","9,915","8,390","27,990","5,185","236,095","758,715"
"  Under $10,000",355,"4,300",250,"1,110","2,025",765,"1,235",320,685,"1,385","1,000","1,590",435,"1,370",625,110,120,"1,995",965,735,"3,485",310,"25,140","54,525"
"  $ 10,000 - $19,999",550,"2,795",460,"1,660","2,895","1,490","1,980",430,"1,230","2,160","1,335","2,140",625,"1,985",985,160,215,"2,590","1,265","1,070","4,120",460,"32,570","86,150"
"  $ 20,000 - $29,999",555,"1,425",320,"1,800","2,195","1,420","1,695",525,875,"2,240","1,235","1,930",480,"1,775",890,165,205,750,"1,125",835,"3,935",295,"26,615","77,280"
"  $ 30,000 - $39,999",585,"1,605",570,"2,215","1,780","1,410","1,755",405,960,"2,515","1,240","1,990",415,"1,745",870,225,305,485,"1,140",975,"4,110",475,"27,740","83,835"
"  $ 40,000 - $49,999",590,"1,240",485,"2,180","1,590","1,165","1,575",495,815,"2,485",975,"1,380",345,"1,490",825,255,235,275,970,875,"3,270",295,"23,785","77,540"
"  $ 50,000 - $59,999",460,"1,260",570,"1,735","1,040",980,"1,315",390,860,"2,165",735,"1,055",280,"1,335",795,200,235,260,830,745,"2,415",340,"19,960","67,460"
"  $ 60,000 - $69,999",350,955,455,"1,260",790,790,"1,055",380,735,"1,780",700,740,210,"1,240",755,175,280,120,830,595,"1,725",395,"16,305","59,960"
"  $ 70,000 - $79,999",355,825,430,"1,070",580,695,915,340,535,"1,450",500,445,165,870,560,125,125,35,610,530,"1,265",340,"12,730","50,405"
"  $ 80,000 - $89,999",285,585,415,780,410,600,830,270,585,"1,005",360,325,175,715,375,180,160,135,540,460,"1,145",265,"10,570","43,285"
"  $ 90,000 - $99,999",285,560,305,615,210,490,660,205,380,880,225,300,200,495,360,130,155,35,350,375,615,330,"8,160","34,000"
"  $100,000 and over","1,245","2,210","2,795","2,450",850,"1,255","1,585","1,590","1,190","3,910",980,760,"1,010","1,625","1,150","1,240",645,125,"1,280","1,195","1,900","1,680","32,520","124,270"
  Average household income $," $88,940 "," $49,325 "," $110,698 "," $60,244 "," $38,893 "," $53,968 "," $52,340 "," $112,512 "," $56,138 "," $66,093 "," $49,566 "," $41,467 "," $72,204 "," $50,807 "," $59,269 "," $136,252 "," $73,129 "," $21,778 "," $53,392 "," $56,507 "," $44,375 "," $105,383 "," $57,916 "," $63,003 "
  Median household income $," $52,556 "," $31,272 "," $79,353 "," $47,309 "," $30,250 "," $43,031 "," $43,250 "," $62,083 "," $48,079 "," $50,267 "," $38,296 "," $32,314 "," $45,323 "," $42,185 "," $48,792 "," $83,096 "," $60,975 "," $12,692 "," $44,510 "," $45,947 "," $35,769 "," $70,110 "," $42,026 "," $49,940 "
  Standard error household income $," $6,495 "," $1,142 "," $2,868 ", $976 , $656 ," $1,224 ", $717 ," $6,666 ", $945 ," $1,265 "," $1,035 ", $829 ," $2,969 ", $667 ," $1,586 "," $6,678 "," $2,329 ", $578 , $919 ," $1,069 ", $664 ," $4,940 ", $374 , $179 
Total number of occupied private dwellings by structural type of dwelling,"5,605","17,770","7,060","16,870","14,355","11,050","14,605","5,355","8,840","21,980","9,280","12,655","4,330","14,655","8,180","2,975","2,675","6,810","9,915","8,395","27,990","5,185","236,100","758,715"
  Single-detached house,"2,745",20,"6,000",150,"2,350","6,355","6,865","3,205","3,190","2,340","3,210",715,"2,280","6,920","3,845","2,145","1,230",480,"4,875","4,800",135,"2,955","66,460","330,740"
